,DATE,TEAM-A,RESULT,TEAM-B
171,10-03-2025,Espanol,1 - 1,Girona
172,22-02-2025,Alaves,0 - 1,Espanol
173,16-02-2025,Espanol,1 - 1,Ath Bilbao
174,09-02-2025,Sociedad,2 - 1,Espanol
175,01-02-2025,Espanol,1 - 0,Real Madrid
176,25-01-2025,Sevilla,1 - 1,Espanol
177,17-01-2025,Espanol,2 - 1,Valladolid
178,11-01-2025,Espanol,1 - 1,Leganes
179,22-12-2024,Las Palmas,1 - 0,Espanol
180,18-12-2024,Espanol,1 - 1,Valencia
181,14-12-2024,Espanol,0 - 0,Osasuna
182,09-12-2024,Getafe,1 - 0,Espanol
183,23-11-2024,Girona,4 - 1,Espanol
184,03-11-2024,FC Barcelona,3 - 1,Espanol
185,25-10-2024,Espanol,0 - 2,Sevilla
186,19-10-2024,Ath Bilbao,4 - 1,Espanol
187,05-10-2024,Espanol,2 - 1,Mallorca
188,29-09-2024,Betis,1 - 0,Espanol
189,26-09-2024,Espanol,1 - 2,Villarreal
190,21-09-2024,Real Madrid,4 - 1,Espanol
191,31-08-2024,Espanol,2 - 1,Vallecano
192,28-08-2024,Ath Madrid,0 - 0,Espanol
193,24-08-2024,Espanol,0 - 1,Sociedad
194,19-08-2024,Valladolid,1 - 0,Espanol
195,18-05-2025,FC Barcelona,2 - 3,Villarreal
196,15-05-2025,Espanol,0 - 2,FC Barcelona
197,03-05-2025,Valladolid,1 - 2,FC Barcelona
198,22-04-2025,FC Barcelona,1 - 0,Mallorca
199,12-04-2025,Leganes,0 - 1,FC Barcelona
200,05-04-2025,FC Barcelona,1 - 1,Betis
201,22-02-2025,Las Palmas,0 - 2,FC Barcelona
202,17-02-2025,FC Barcelona,1 - 0,Vallecano
203,02-02-2025,FC Barcelona,1 - 0,Alaves
204,18-01-2025,Getafe,1 - 1,FC Barcelona
205,21-12-2024,FC Barcelona,1 - 2,Ath Madrid
206,15-12-2024,FC Barcelona,0 - 1,Leganes
207,07-12-2024,Betis,2 - 2,FC Barcelona
